#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;30;0;180;4.0;-2.98677659246;-0.159252928973
0.05;30;5;0;0.0;-2.67063193895;-0.13841876661
0.05;30;5;0;0.5;-2.61216865683;-0.115367840125
0.05;30;5;0;1.0;-2.65859411718;-0.121460745971
0.05;30;5;0;1.5;-2.77454307695;-0.143314240337
0.05;30;5;0;2.0;-2.88519604592;-0.167687801015
0.05;30;5;0;3.0;-2.87053005557;-0.142568174687
0.05;30;5;0;4.0;-3.05307961777;-0.172078282287
0.05;30;5;45;0.0;-2.61500110722;-0.124097374209
0.05;30;5;45;0.5;-2.64388511729;-0.127797987179
0.05;30;5;45;1.0;-2.64558401082;-0.116241685182
0.05;30;5;45;1.5;-2.76332110064;-0.143472329308
0.05;30;5;45;2.0;-2.84551817316;-0.161749200026
0.05;30;5;45;3.0;-2.85842361034;-0.143670392518
0.05;30;5;45;4.0;-3.002823308;-0.160565428391
0.05;30;5;90;0.0;-2.62775273177;-0.132986173786
0.05;30;5;90;0.5;-2.5947789634;-0.107915559922
0.05;30;5;90;1.0;-2.63841333472;-0.115478325357
0.05;30;5;90;1.5;-2.77217831648;-0.145404278584
0.05;30;5;90;2.0;-2.8355990764;-0.153517774818
0.05;30;5;90;3.0;-2.85942603385;-0.147467458619
0.05;30;5;90;4.0;-3.01073252503;-0.165612819365
0.05;30;5;125;0.0;-2.61289485078;-0.131304996506
0.05;30;5;125;0.5;-2.59260581514;-0.116345276658
0.05;30;5;125;1.0;-2.64077067399;-0.122235042435
0.05;30;5;125;1.5;-2.75317561287;-0.146849331881
0.05;30;5;125;2.0;-2.83769910418;-0.154902199558
0.05;30;5;125;3.0;-2.85390665207;-0.143982791016
0.05;30;5;125;4.0;-2.9971259989;-0.164444263709
0.05;30;5;180;0.0;-2.60117787399;-0.1267401796
0.05;30;5;180;0.5;-2.58358520323;-0.111985208438
0.05;30;5;180;1.0;-2.64335547774;-0.120230766104
0.05;30;5;180;1.5;-2.77087183262;-0.14733167542
0.05;30;5;180;2.0;-2.7904453791;-0.142951843699
0.05;30;5;180;3.0;-2.85303269073;-0.139348226139
0.05;30;5;180;4.0;-2.96838180737;-0.156954500797
0.05;30;10;0;0.0;-2.70884788281;-0.15347299506
0.05;30;10;0;0.5;-2.64858262379;-0.128571706244
0.05;30;10;0;1.0;-2.68107379666;-0.128682797715
0.05;30;10;0;1.5;-2.78766250033;-0.152353462327
0.05;30;10;0;2.0;-2.87449424218;-0.16478313684
0.05;30;10;0;3.0;-2.87647028726;-0.148687839227
0.05;30;10;0;4.0;-3.03326971496;-0.171177211189
